EEG file,Fp1-AVE,Fp2-AVE,F3-AVE,F4-AVE,C3-AVE,C4-AVE,P3-AVE,P4-AVE,O1-AVE,O2-AVE,F7-AVE,F8-AVE,T3-AVE,T4-AVE,T5-AVE,T6-AVE,Fz-AVE,Cz-AVE,Pz-AVE
20 (Mean),3.4872703e-09,4.737488e-09,3.812864e-10,9.2549146e-10,-2.0870645e-09,-1.1996253e-09,-7.1879397e-10,-1.1009288e-09,-1.0308773e-09,-1.6611094e-09,3.0303964e-09,1.565655e-09,-1.3482135e-09,1.0440975e-09,-2.617491e-09,5.284405e-10,-7.0208817e-10,-1.8392146e-09,-1.3947399e-09
20 (Std),1.9998897e-05,1.9332443e-05,6.706595e-06,7.139328e-06,8.436206e-06,6.8559334e-06,7.3124925e-06,7.2130874e-06,1.02563745e-05,1.0872245e-05,9.542524e-06,9.6848535e-06,8.011256e-06,7.914463e-06,8.038505e-06,1.0242504e-05,7.7466675e-06,7.4142154e-06,7.572315e-06
21 (Max),0.00022362906,0.00026567475,0.00022568373,0.00017501223,0.00016354388,0.00020103496,0.000704835,0.00031005492,0.0016481356,0.0009510422,0.0002614461,0.00025273603,0.00022715612,0.00026504026,0.00022306255,0.00022839205,0.00020591398,0.00013791135,0.00051955093
21 (Min),-0.00022641967,-0.0002742173,-0.00021760448,-0.00018754936,-0.00017054228,-0.00019654565,-0.0007441109,-0.00021648756,-0.0014700851,-0.0004095347,-0.00023732723,-0.00026500932,-0.00024080898,-0.00025998283,-0.000272504,-0.00017106636,-0.00020009316,-0.00015530935,-0.0002811087
21 (Q-90%),-3.527037e-05,-3.3113865e-05,-3.1957516e-05,-1.1877458e-05,-1.0797775e-05,-1.2935348e-05,-7.666665e-05,-7.743434e-05,-2.4421623e-05,-4.700768e-05,-3.551617e-05,-2.5892534e-05,-3.3376775e-05,-2.573971e-05,-3.681927e-05,-4.4149787e-05,-2.6979438e-05,-1.6621756e-05,-1.6496475e-05
21 (Q2),-1.9350878e-07,-6.3933066e-07,2.6836977e-10,-7.066579e-08,4.322639e-08,2.7482807e-08,-1.7861655e-07,-3.144835e-08,5.351704e-08,-5.261689e-08,-1.5970767e-09,-1.855784e-08,5.0321738e-08,2.1319735e-08,3.3100342e-08,7.2356244e-08,9.3595546e-08,4.8044292e-08,-2.3754716e-08
21 (Q-10%),3.4597364e-05,3.3259977e-05,3.1809916e-05,1.2084393e-05,1.0826162e-05,1.2945585e-05,7.691402e-05,7.7642195e-05,2.4284383e-05,4.749e-05,3.5318317e-05,2.5843969e-05,3.3592198e-05,2.598941e-05,3.73832e-05,4.472555e-05,2.6774205e-05,1.6678028e-05,1.652912e-05
21 (Mean),-1.4486259e-09,-3.1540845e-09,1.481924e-09,-2.1512823e-09,8.77692e-10,-1.8785322e-09,-3.9703623e-09,-4.9821267e-09,4.218599e-09,-3.5049335e-09,-2.832181e-09,9.727384e-11,4.452319e-09,4.318949e-09,6.0629333e-09,-1.3014475e-09,3.8287667e-10,9.929018e-10,2.338136e-09
21 (Std),2.9133016e-05,3.0682222e-05,2.4170819e-05,1.0548681e-05,9.544784e-06,1.0701256e-05,5.943481e-05,5.7196423e-05,3.423778e-05,3.9785315e-05,2.8217346e-05,2.114945e-05,2.5879648e-05,2.0332785e-05,2.8844566e-05,3.348936e-05,2.0686979e-05,1.30338385e-05,1.4805631e-05
22 (Max),0.00025846087,0.00022796403,7.93638e-05,6.0802737e-05,3.385844e-05,4.0555784e-05,4.5923196e-05,5.119881e-05,5.7501253e-05,9.907757e-05,4.0664327e-05,4.867564e-05,3.7721216e-05,5.4117027e-05,5.495044e-05,6.0579965e-05,3.5311317e-05,3.7213256e-05,4.456569e-05
22 (Min),-0.00019571002,-0.0001818779,-4.7906025e-05,-3.9274568e-05,-4.42441e-05,-4.8705806e-05,-5.633938e-05,-5.212636e-05,-5.860498e-05,-0.00010391571,-5.013126e-05,-7.134212e-05,-4.7034056e-05,-6.512938e-05,-5.7426212e-05,-5.8854817e-05,-2.8176479e-05,-6.016089e-05,-5.4471697e-05
22 (Q-90%),-1.4572137e-05,-1.4614868e-05,-1.0339475e-05,-9.148988e-06,-8.731096e-06,-9.15526e-06,-1.0541382e-05,-1.0219569e-05,-1.3366336e-05,-1.3339056e-05,-1.101623e-05,-1.0995899e-05,-8.708237e-06,-1.0966349e-05,-1.1931719e-05,-1.2635126e-05,-9.275853e-06,-1.09149e-05,-9.294094e-06
22 (Q2),-1.803073e-07,-9.3138596e-08,-1.5426565e-08,-1.00499044e-07,1.2235702e-07,4.588586e-08,2.0693292e-07,2.6595882e-07,1.0068018e-07,1.3070236e-07,-8.525063e-08,-8.205548e-08,-1.771036e-08,1.745302e-07,2.4583713e-07,2.983697e-07,-1.6118037e-08,4.112617e-08,1.851316e-07
22 (Q-10%),1.3313349e-05,1.3450046e-05,1.074652e-05,9.351687e-06,8.703834e-06,9.233537e-06,1.0252009e-05,9.785922e-06,1.3148951e-05,1.2957962e-05,1.17337995e-05,1.1485527e-05,8.776989e-06,1.0548778e-05,1.1589108e-05,1.1997557e-05,9.336997e-06,1.0863287e-05,9.178493e-06
22 (Mean),5.6051937e-07,5.196259e-07,6.437292e-08,1.5678337e-08,-6.763814e-08,-7.792019e-08,-1.2887908e-07,-1.0444848e-07,-1.4528581e-07,-1.1118272e-07,5.950117e-08,2.8091163e-08,-1.0105478e-07,-1.2251293e-07,-1.4519033e-07,-1.322313e-07,4.900933e-08,-6.019989e-08,-1.0025442e-07
22 (Std),2.5177515e-05,2.4037352e-05,8.659599e-06,7.4447034e-06,7.2409944e-06,7.633679e-06,9.100718e-06,8.814795e-06,1.1373452e-05,1.1333744e-05,9.257988e-06,9.281281e-06,7.449897e-06,9.331031e-06,1.0192823e-05,1.0597133e-05,7.3919477e-06,8.876534e-06,8.144499e-06
23 (Max),0.00032624282,0.00028178215,8.4678075e-05,0.00013572394,0.00028070205,0.0003170401,0.00010479323,8.943051e-05,0.0001638986,0.00018513155,9.1189126e-05,9.2165e-05,8.1735365e-05,8.739757e-05,0.00016457116,0.00010689633,6.6388435e-05,0.0003716415,0.00011936225
23 (Min),-0.0002931369,-0.0002907385,-8.7023116e-05,-7.335709e-05,-0.00021868786,-0.0002445292,-0.0001855585,-0.00014101595,-0.0001721805,-0.00018191752,-9.643287e-05,-0.00013932183,-0.000109569424,-9.191144e-05,-0.00020144988,-9.849292e-05,-8.2784594e-05,-0.00027952812,-0.000101464415
23 (Q-90%),-1.5523605e-05,-1.6075246e-05,-1.1031749e-05,-1.0275034e-05,-9.635356e-06,-1.0330459e-05,-1.146838e-05,-1.0825259e-05,-1.50859905e-05,-1.48298905e-05,-1.1289007e-05,-1.3067812e-05,-9.438413e-06,-1.1381892e-05,-1.3360415e-05,-1.36754015e-05,-1.05055915e-05,-1.2528664e-05,-1.0674394e-05
23 (Q2),1.09794726e-07,1.945046e-07,1.7630589e-07,3.8148304e-08,4.276079e-08,3.8751452e-08,2.3066053e-07,1.39473e-07,2.6018282e-07,9.1888566e-08,2.1106455e-08,2.0312879e-07,6.678578e-08,1.4698975e-07,2.0797063e-07,1.3134428e-07,9.2264315e-08,-1.379377e-07,1.3954564e-08
23 (Q-10%),1.425574e-05,1.4641416e-05,1.1152796e-05,1.0434721e-05,9.65086e-06,1.0336119e-05,1.1343254e-05,1.0667361e-05,1.4734395e-05,1.4678472e-05,1.1498625e-05,1.2825163e-05,9.343495e-06,1.113951e-05,1.3038511e-05,1.3434266e-05,1.0722421e-05,1.2642576e-05,1.0610623e-05
23 (Mean),1.7836114e-09,-2.5553158e-08,5.454263e-09,2.2571836e-09,1.4644783e-09,3.7960367e-11,7.0458406e-10,1.6771475e-09,2.3244953e-09,-8.0668505e-10,2.0145583e-09,-4.514579e-10,2.356678e-09,1.0706849e-10,8.0487333e-10,6.428171e-10,2.194825e-09,3.1362226e-09,-1.4946187e-10
23 (Std),2.45012e-05,2.315474e-05,9.698186e-06,8.97921e-06,9.130805e-06,1.02832255e-05,1.0145227e-05,9.40962e-06,1.3672968e-05,1.2987231e-05,1.0035439e-05,1.1287653e-05,8.346358e-06,9.754902e-06,1.1501621e-05,1.1683931e-05,9.259631e-06,1.3145429e-05,9.803289e-06
24 (Max),0.00053092744,0.00047169413,0.00016347074,0.00018731505,0.00010198376,0.00012113922,0.00023146503,0.00025157526,0.00014464199,0.0002555969,0.00016203815,0.00016513807,0.000105634375,0.0001602335,0.00012323564,0.00012497065,0.00011602807,7.535602e-05,0.00059618655
24 (Min),-0.00070950075,-0.00042381685,-8.4496045e-05,-0.00010435879,-9.618893e-05,-0.00011056419,-0.00016236084,-0.0004059078,-0.00012203811,-0.00038014643,-0.00022862956,-0.00013665516,-0.00016519845,-0.00027799452,-0.00014063732,-0.00013700577,-0.00010809626,-0.00032200746,-0.00032454537
24 (Q-90%),-1.2572188e-05,-1.2822213e-05,-6.976811e-06,-6.7599244e-06,-7.1085133e-06,-1.2164073e-05,-7.407484e-06,-7.776731e-06,-8.62053e-06,-8.819256e-06,-9.31917e-06,-8.517369e-06,-8.360591e-06,-8.106876e-06,-9.757144e-06,-8.443002e-06,-8.306874e-06,-7.0175147e-06,-6.7007336e-06
24 (Q2),-1.377459e-07,-1.5515528e-07,2.1924983e-08,2.0932136e-08,8.918513e-08,6.320734e-08,7.221085e-08,6.922458e-08,2.7389508e-08,1.2748387e-08,1.7182896e-09,2.2265777e-08,2.4250717e-08,6.447111e-08,6.87953e-08,5.7850272e-08,4.796161e-09,6.3950445e-08,6.1025304e-08
24 (Q-10%),1.1305663e-05,1.1555617e-05,7.125702e-06,6.8932213e-06,7.158225e-06,1.21702515e-05,7.3303895e-06,7.758116e-06,8.6903e-06,8.975079e-06,9.365441e-06,8.483288e-06,8.545846e-06,8.008504e-06,9.863204e-06,8.320156e-06,8.550171e-06,7.08861e-06,6.7073775e-06
24 (Mean),1.8037825e-09,-3.6422967e-09,1.6229114e-09,7.184251e-10,2.0643915e-09,-3.4403573e-09,1.173717e-09,-8.342433e-10,-2.7551003e-10,-1.1178892e-09,2.9213356e-09,-2.9374718e-09,6.637184e-10,-3.914043e-09,5.726514e-10,-9.40453e-10,2.9240068e-09,1.9846162e-09,6.527361e-10
24 (Std),2.9346269e-05,3.0357956e-05,6.771538e-06,6.6401703e-06,7.3499477e-06,1.0045592e-05,1.1147744e-05,1.4874857e-05,1.0245522e-05,1.3536966e-05,1.18806165e-05,9.783836e-06,9.189293e-06,9.156965e-06,1.03782795e-05,9.768689e-06,8.274018e-06,6.8934232e-06,1.6317766e-05
25 (Max),0.0003372565,0.0003838536,0.00016041924,0.0002124109,0.0002133392,0.00042105213,0.0009303166,0.0003060543,0.00096662453,0.00036381913,0.00045083903,0.00038326773,0.00036565235,0.0005692931,0.000408802,0.000179972,9.617496e-05,0.00013645136,0.00017824913
25 (Min),-0.00032919287,-0.0003546802,-0.00017483953,-0.0001608137,-0.0001618019,-0.00037021821,-0.00050091615,-0.00023930224,-0.00060449296,-0.00037352397,-0.0017856411,-0.0003615272,-0.0003536017,-0.0006985715,-0.00087323436,-0.00026496273,-0.00016664274,-0.00020144919,-0.00034463956
25 (Q-90%),-4.3336706e-05,-4.8606125e-05,-1.7819368e-05,-1.5922853e-05,-1.3926073e-05,-1.4306917e-05,-1.7012086e-05,-1.6771519e-05,-2.7274105e-05,-2.8731742e-05,-4.9167782e-05,-4.961236e-05,-2.314377e-05,-2.508778e-05,-1.9363453e-05,-2.0409658e-05,-1.1244869e-05,-1.3384119e-05,-1.5361593e-05
